age,velocity_bin,velocity_bin_label,player_seasons,unique_players,total_velocity_pitch_count,total_velocity_batted_ball_count,release_speed_sum,release_speed_count,velocity_launch_speed_sum,velocity_launch_angle_sum,velocity_launch_angle_count,velocity_hard_hit_sum,velocity_xwoba_sum,velocity_xwoba_count,velocity_xslg_sum,velocity_xslg_count,avg_OPS,avg_pitch_speed_in_bin,avg_velocity_launch_speed,avg_velocity_launch_angle,velocity_hard_hit_rate,avg_velocity_estimated_woba,avg_velocity_estimated_slg
30.0,v_lt85,85mph 미만,301,301,33532.0,8968.0,2708464.6,33532.0,737478.9,113584.0,8974.0,2321.0,2440.863893932583,8231.0,3021.003,5476.0,0.7413103492246077,80.77253369915304,82.23448929527208,12.657009137508357,0.2588090990187333,0.296545242854159,0.5516806062819577
30.0,v_85_90,85~90mph,300,300,30712.0,8983.0,2685044.4,30712.0,745956.5,115112.0,8991.0,2408.0,2488.2474415653537,7985.0,3022.631,5375.0,0.7404144678324361,87.4265563948945,83.04091060892797,12.803025247469693,0.26806189468996994,0.3116152087120042,0.562349953488372
30.0,v_90_95,90~95mph,305,305,45459.0,14586.0,4209724.1,45459.0,1229446.9,293915.0,14590.0,3940.0,4120.915818382431,11463.0,4756.455,8061.0,0.7403852984547453,92.60485492421742,84.28951734539969,20.144962302947224,0.2701220348279172,0.3594971489472591,0.5900576851507257
30.0,v_ge95,95mph 이상,286,286,18773.0,6325.0,1812716.3,18773.0,534018.3,139735.0,6328.0,1548.0,1638.8242502931148,4981.0,1817.204,3172.0,0.7431304716243198,96.5597560326,84.42977075098815,22.08201643489254,0.24474308300395256,0.3290151074669975,0.5728890290037831
31.0,v_lt85,85mph 미만,275,275,31900.0,8653.0,2576426.7,31900.0,708666.4,102929.0,8659.0,2090.0,2193.4998937747428,7774.0,2685.261,5198.0,0.7243060677385821,80.76572727272728,81.89834739396741,11.886938445547985,0.24153472784005547,0.28215846331036054,0.5165950365525201
31.0,v_85_90,85~90mph,277,277,28532.0,8263.0,2495451.1,28532.0,686517.8,97375.0,8268.0,2213.0,2319.6410581178666,7440.0,2771.864,5018.0,0.7232016061641028,87.4614853497827,83.08335955464118,11.777334300919206,0.26782040421154546,0.31177971211261646,0.5523842168194499
31.0,v_90_95,90~95mph,285,285,42003.0,13437.0,3889276.8,42003.0,1132147.1,278991.0,13444.0,3551.0,3769.9617434672577,10626.0,4326.586,7504.0,0.7203982052802369,92.5952146275266,84.25594254669942,20.75208271347813,0.264270298429709,0.35478653712283625,0.5765706289978678
31.0,v_ge95,95mph 이상,261,261,17273.0,5851.0,1668094.3,17273.0,491387.2,127260.0,5854.0,1412.0,1467.3913167048709,4545.0,1612.855,2928.0,0.7283313703410617,96.57235569964685,83.98345581951803,21.738981892722926,0.2413262690138438,0.32285837551262286,0.5508384562841531
32.0,v_lt85,85mph 미만,257,257,28745.0,7538.0,2319887.9,28745.0,613672.3,94339.0,7541.0,1746.0,1974.006632172271,6967.0,2347.882,4633.0,0.7201060439632356,80.7057888328405,81.41049349960203,12.510144543164037,0.23162642610772088,0.28333667750427316,0.5067735808331535
32.0,v_85_90,85~90mph,259,259,25265.0,7247.0,2209633.2,25265.0,600064.0,91681.0,7250.0,1860.0,1928.6163153997384,6490.0,2248.984,4409.0,0.7214048884198642,87.45827033445478,82.80171105284946,12.645655172413793,0.256657927418242,0.2971673829583572,0.5100893626672715
32.0,v_90_95,90~95mph,263,263,38890.0,12239.0,3600918.9,38890.0,1032799.9,243795.0,12246.0,3288.0,3466.6506749850123,9784.0,3960.01,7045.0,0.7199499798213027,92.59241193108768,84.3859710760683,19.90813326800588,0.26864939946074023,0.3543183437229162,0.5621022001419447
