playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,bbrefID,finalGame,retroID,deathDate,birthDate
aardsda01,1981.0,12.0,27.0,Denver,USA,CO,,,,,,,David,Aardsma,David Allan,215.0,75.0,R,R,2004-04-06,aardsda01,2015-08-23,aardd001,,1981-12-27
aaronha01,1934.0,2.0,5.0,Mobile,USA,AL,2021.0,1.0,22.0,USA,GA,Atlanta,Hank,Aaron,Henry Louis,180.0,72.0,R,R,1954-04-13,aaronha01,1976-10-03,aaroh101,2021-01-22,1934-02-05
aaronto01,1939.0,8.0,5.0,Mobile,USA,AL,1984.0,8.0,16.0,USA,GA,Atlanta,Tommie,Aaron,Tommie Lee,190.0,75.0,R,R,1962-04-10,aaronto01,1971-09-26,aarot101,1984-08-16,1939-08-05
aasedo01,1954.0,9.0,8.0,Orange,USA,CA,,,,,,,Don,Aase,Donald William,190.0,75.0,R,R,1977-07-26,aasedo01,1990-10-03,aased001,,1954-09-08
abadan01,1972.0,8.0,25.0,Palm Beach,USA,FL,,,,,,,Andy,Abad,Fausto Andres,184.0,73.0,L,L,2001-09-10,abadan01,2006-04-13,abada001,,1972-08-25
abadfe01,1985.0,12.0,17.0,La Romana,D.R.,La Romana,,,,,,,Fernando,Abad,Fernando Antonio,235.0,74.0,L,L,2010-07-28,abadfe01,2021-10-01,abadf001,,1985-12-17
abadijo01,1850.0,11.0,4.0,Philadelphia,USA,PA,1905.0,5.0,17.0,USA,NJ,Pemberton,John,Abadie,John W.,192.0,72.0,R,R,1875-04-26,abadijo01,1875-06-10,abadj101,1905-05-17,1850-11-04
abbated01,1877.0,4.0,15.0,Latrobe,USA,PA,1957.0,1.0,6.0,USA,FL,Fort Lauderdale,Ed,Abbaticchio,Edward James,170.0,71.0,R,R,1897-09-04,abbated01,1910-09-15,abbae101,1957-01-06,1877-04-15
abbeybe01,1869.0,11.0,11.0,Essex,USA,VT,1962.0,6.0,11.0,USA,VT,Colchester,Bert,Abbey,Bert Wood,175.0,71.0,R,R,1892-06-14,abbeybe01,1896-09-23,abbeb101,1962-06-11,1869-11-11
abbeych01,1866.0,10.0,14.0,Falls City,USA,NE,1926.0,4.0,27.0,USA,CA,San Francisco,Charlie,Abbey,Charles S.,169.0,68.0,L,L,1893-08-16,abbeych01,1897-08-19,abbec101,1926-04-27,1866-10-14
abbotan01,1999.0,6.0,1.0,Lynchburg,USA,VA,,,,,,,Andrew,Abbott,Andrew Cole,192.0,72.0,L,L,2023-06-05,abbotan01,,abboa001,,1999-06-01
abbotco01,1995.0,9.0,20.0,San Diego,USA,CA,,,,,,,Cory,Abbott,Cory James,220.0,74.0,R,R,2021-06-05,abbotco01,2022-10-04,abboc001,,1995-09-20
