playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
aardsda01,2004,1,SFN,NL,1,0,11,0,0,0,0,32,20,8,1,10,5,0.417,6.75,0.0,0,2.0,0,61.0,5,8,0.0,1.0,1.0
aardsda01,2006,1,CHN,NL,3,0,45,0,0,0,0,159,41,24,9,28,49,0.214,4.08,0.0,1,1.0,0,225.0,9,25,1.0,3.0,2.0
aardsda01,2007,1,CHA,AL,2,1,25,0,0,0,0,97,39,23,4,17,36,0.3,6.4,3.0,2,1.0,0,151.0,7,24,2.0,1.0,1.0
aardsda01,2008,1,BOS,AL,4,2,47,0,0,0,0,146,49,30,4,35,49,0.268,5.55,2.0,3,5.0,0,228.0,7,32,3.0,2.0,4.0
aardsda01,2009,1,SEA,AL,3,6,73,0,0,0,38,214,49,20,4,34,80,0.19,2.52,3.0,2,0.0,0,296.0,53,23,2.0,1.0,2.0
aardsda01,2010,1,SEA,AL,0,6,53,0,0,0,31,149,33,19,5,25,49,0.198,3.44,5.0,2,2.0,0,202.0,43,19,7.0,1.0,5.0
aardsda01,2012,1,NYA,AL,0,0,1,0,0,0,0,3,1,1,1,1,1,0.25,9.0,0.0,0,0.0,0,5.0,1,1,0.0,0.0,0.0
aardsda01,2013,1,NYN,NL,2,2,43,0,0,0,0,119,39,19,7,19,36,0.257,4.31,6.0,1,4.0,1,178.0,7,20,2.0,1.0,2.0
aardsda01,2015,1,ATL,NL,1,1,33,0,0,0,0,92,25,16,6,14,35,0.223,4.7,3.0,1,1.0,0,129.0,9,17,0.0,1.0,4.0
aasedo01,1977,1,BOS,AL,6,2,13,13,4,2,0,277,85,32,6,19,49,0.244,3.12,1.0,0,1.0,0,373.0,0,36,2.0,3.0,7.0
aasedo01,1978,1,CAL,AL,11,8,29,29,6,1,0,536,185,80,14,80,93,0.27,4.03,4.0,3,2.0,0,773.0,0,88,5.0,1.0,12.0
aasedo01,1979,1,CAL,AL,9,10,37,28,7,1,2,556,200,99,19,77,96,0.277,4.81,7.0,5,1.0,0,817.0,4,104,8.0,8.0,20.0
aasedo01,1980,1,CAL,AL,8,13,40,21,5,1,2,525,193,79,13,66,74,0.287,4.06,3.0,2,1.0,1,761.0,6,83,12.0,9.0,20.0
aasedo01,1981,1,CAL,AL,4,4,39,0,0,0,11,196,56,17,4,24,38,0.234,2.34,2.0,2,0.0,0,265.0,32,17,1.0,1.0,5.0
aasedo01,1982,1,CAL,AL,3,3,24,0,0,0,4,156,45,20,5,23,40,0.243,3.46,2.0,2,0.0,0,212.0,18,20,4.0,0.0,5.0
aasedo01,1984,1,CAL,AL,4,1,23,0,0,0,8,117,30,7,1,19,28,0.221,1.62,5.0,0,0.0,0,160.0,17,7,3.0,2.0,5.0
aasedo01,1985,1,BAL,AL,10,6,54,0,0,0,14,264,83,37,6,35,67,0.258,3.78,7.0,0,1.0,1,366.0,43,44,5.0,3.0,13.0
aasedo01,1986,1,BAL,AL,6,7,66,0,0,0,34,245,71,27,6,28,67,0.234,2.98,2.0,4,0.0,0,337.0,58,29,3.0,2.0,7.0
aasedo01,1987,1,BAL,AL,1,0,7,0,0,0,2,24,8,2,1,4,3,0.276,2.25,0.0,0,0.0,0,33.0,6,2,0.0,0.0,2.0
aasedo01,1988,1,BAL,AL,0,0,35,0,0,0,0,140,40,21,4,37,28,0.24,4.05,5.0,1,0.0,0,209.0,16,22,3.0,2.0,5.0
aasedo01,1989,1,NYN,NL,1,5,49,0,0,0,2,178,56,26,5,26,34,0.245,3.94,3.0,0,1.0,1,261.0,22,27,2.0,3.0,3.0
aasedo01,1990,1,LAN,NL,3,1,32,0,0,0,3,114,33,21,5,19,24,0.232,4.97,4.0,3,0.0,0,163.0,13,24,2.0,0.0,2.0
abadfe01,2010,1,HOU,NL,0,1,22,0,0,0,0,57,14,6,3,5,12,0.2,2.84,0.0,0,0.0,0,76.0,6,6,0.0,1.0,0.0
abadfe01,2011,1,HOU,NL,1,4,29,0,0,0,0,59,28,16,5,9,15,0.326,7.32,0.0,0,1.0,0,99.0,1,18,1.0,2.0,0.0
abadfe01,2012,1,HOU,NL,0,6,37,6,0,0,0,138,57,26,6,19,38,0.311,5.09,1.0,4,3.0,0,208.0,8,27,2.0,1.0,4.0
abadfe01,2013,1,WAS,NL,0,3,39,0,0,0,0,113,42,14,3,10,32,0.271,3.35,0.0,0,1.0,0,166.0,17,14,0.0,0.0,0.0
abadfe01,2014,1,OAK,AL,2,4,69,0,0,0,0,172,34,10,4,15,51,0.175,1.57,3.0,0,4.0,0,216.0,17,11,1.0,2.0,6.0
abadfe01,2015,1,OAK,AL,2,2,62,0,0,0,0,143,45,22,11,19,45,0.251,4.15,3.0,4,1.0,0,205.0,17,23,3.0,3.0,1.0
abadfe01,2016,2,BOS,AL,0,2,18,0,0,0,0,38,13,9,2,8,12,0.255,6.39,0.0,1,1.0,0,60.0,7,9,0.0,0.0,1.0
abadfe01,2016,1,MIN,AL,1,4,39,0,0,0,1,102,27,10,2,14,29,0.22,2.65,2.0,0,0.0,1,138.0,8,11,0.0,1.0,6.0
abadfe01,2017,1,BOS,AL,2,1,48,0,0,0,1,131,40,16,4,14,37,0.242,3.3,1.0,0,1.0,1,182.0,15,18,0.0,2.0,4.0
abadfe01,2019,1,SFN,NL,0,2,21,0,0,0,0,39,9,6,2,3,9,0.196,4.15,0.0,1,0.0,0,49.0,1,6,0.0,0.0,3.0
abadfe01,2021,1,BAL,AL,0,0,16,0,0,0,0,53,23,11,1,7,10,0.307,5.6,1.0,0,0.0,0,82.0,4,12,0.0,0.0,3.0
abadfe01,2023,1,COL,NL,1,0,6,0,0,0,0,19,11,3,2,3,2,0.379,4.26,0.0,0,0.0,0,32.0,2,3,0.0,0.0,2.0
abbeybe01,1892,1,WAS,NL,5,18,27,22,19,0,1,587,207,75,7,76,77,,3.45,,11,6.0,0,876.0,5,139,,,
abbeybe01,1893,1,CHN,NL,2,4,7,7,5,0,0,168,74,34,1,20,6,,5.46,,2,4.0,0,264.0,0,52,,,
abbeybe01,1894,1,CHN,NL,2,7,11,11,10,0,0,276,119,53,3,37,24,,5.18,,0,3.0,0,424.0,0,74,,,
abbeybe01,1895,2,BRO,NL,5,2,8,6,5,0,0,156,66,25,0,9,14,,4.33,,2,3.0,0,229.0,2,34,,,
abbeybe01,1895,1,CHN,NL,0,1,1,1,1,0,0,24,10,4,0,2,3,,4.5,,0,1.0,0,36.0,0,8,,,
abbeybe01,1896,1,BRO,NL,8,8,25,18,12,0,0,493,210,94,7,48,37,,5.15,,3,9.0,0,739.0,7,135,,,
abbeych01,1896,1,WAS,NL,0,0,1,0,0,0,0,6,6,1,0,0,0,,4.5,,1,0.0,0,12.0,1,3,,,
abbotan01,2023,1,CIN,NL,8,6,21,21,0,0,0,328,100,47,16,44,120,0.244,3.87,0.0,1,1.0,1,459.0,0,47,0.0,5.0,6.0
abbotan01,2024,1,CIN,NL,10,10,25,25,0,0,0,414,127,57,25,52,114,0.24,3.72,1.0,5,2.0,0,586.0,0,60,1.0,2.0,6.0
abbotco01,2021,1,CHN,NL,0,0,7,1,0,0,0,52,20,13,7,11,12,0.286,6.75,0.0,2,0.0,0,82.0,2,15,1.0,0.0,0.0
abbotco01,2022,1,WAS,NL,0,5,16,9,0,0,0,144,44,28,12,25,45,0.239,5.25,0.0,2,5.0,0,216.0,7,30,0.0,2.0,0.0
abbotco01,2023,1,WAS,NL,1,2,22,0,0,0,0,118,48,29,9,19,40,0.306,6.64,0.0,4,4.0,1,183.0,10,29,0.0,3.0,5.0
abbotda01,1890,1,TL2,AA,0,2,3,1,1,0,1,39,19,9,0,8,1,,6.23,,3,1.0,0,67.0,2,14,,,
abbotgl01,1973,1,OAK,AL,1,0,5,3,1,0,0,56,16,8,3,7,6,0.225,3.86,0.0,0,0.0,1,79.0,1,8,0.0,1.0,0.0
abbotgl01,1974,1,OAK,AL,5,7,19,17,3,0,0,288,89,32,4,34,38,0.247,3.0,3.0,3,3.0,0,401.0,0,38,2.0,1.0,6.0
abbotgl01,1975,1,OAK,AL,5,5,30,15,3,1,0,343,109,54,12,50,51,0.253,4.25,7.0,2,2.0,1,495.0,4,61,7.0,5.0,10.0
abbotgl01,1976,1,OAK,AL,2,4,19,10,0,0,0,187,87,38,6,16,27,0.333,5.49,0.0,3,1.0,0,283.0,4,41,3.0,2.0,0.0
abbotgl01,1977,1,SEA,AL,12,13,36,34,7,0,0,613,212,101,32,56,100,0.27,4.45,2.0,3,12.0,0,864.0,0,111,7.0,4.0,17.0
abbotgl01,1978,1,SEA,AL,7,15,29,28,8,1,0,466,191,91,22,44,67,0.303,5.27,5.0,1,2.0,0,689.0,0,99,9.0,3.0,11.0
abbotgl01,1979,1,SEA,AL,4,10,23,19,3,0,0,350,138,67,19,38,25,0.301,5.17,2.0,1,3.0,0,518.0,1,78,8.0,10.0,14.0
abbotgl01,1980,1,SEA,AL,12,12,31,31,7,2,0,645,228,98,27,49,78,0.272,4.1,4.0,1,3.0,1,903.0,0,110,10.0,4.0,24.0
abbotgl01,1981,1,SEA,AL,4,9,22,20,1,0,0,391,127,57,14,28,35,0.258,3.94,1.0,1,0.0,0,530.0,1,64,6.0,4.0,13.0
abbotgl01,1983,2,DET,AL,2,1,7,7,1,1,0,140,43,10,5,7,11,0.244,1.93,1.0,2,0.0,0,186.0,0,12,2.0,1.0,3.0
abbotgl01,1983,1,SEA,AL,5,3,14,14,2,0,0,247,103,42,9,15,38,0.311,4.59,2.0,0,4.0,2,355.0,0,46,3.0,2.0,8.0
abbotgl01,1984,1,DET,AL,3,4,13,8,1,0,0,132,62,29,9,8,8,0.326,5.93,1.0,1,2.0,0,205.0,2,39,3.0,2.0,5.0
abbotji01,1989,1,CAL,AL,12,12,29,29,4,2,0,544,190,79,13,74,115,0.274,3.92,3.0,8,4.0,2,788.0,0,95,11.0,5.0,23.0
abbotji01,1990,1,CAL,AL,10,14,33,33,4,1,0,635,246,106,16,72,105,0.295,4.51,6.0,4,5.0,3,925.0,0,116,9.0,6.0,27.0
abbotji01,1991,1,CAL,AL,18,11,34,34,5,1,0,729,222,78,14,73,158,0.244,2.89,6.0,1,5.0,4,1002.0,0,85,7.0,7.0,22.0
abbotji01,1992,1,CAL,AL,7,15,29,29,7,0,0,633,208,65,12,68,130,0.263,2.77,3.0,2,4.0,0,874.0,0,73,8.0,4.0,22.0
abbotji01,1993,1,NYA,AL,11,14,32,32,4,1,0,642,221,104,22,73,95,0.271,4.37,4.0,9,3.0,0,906.0,0,115,12.0,4.0,29.0
abbotji01,1994,1,NYA,AL,9,8,24,24,2,0,0,481,167,81,24,64,90,0.273,4.55,1.0,8,2.0,1,692.0,0,88,9.0,5.0,19.0
abbotji01,1995,2,CAL,AL,5,4,13,13,1,1,0,254,93,39,4,29,41,0.28,4.15,0.0,1,1.0,0,368.0,0,43,3.0,3.0,12.0
abbotji01,1995,1,CHA,AL,6,4,17,17,3,0,0,337,116,42,10,35,45,0.269,3.36,1.0,0,1.0,0,474.0,0,50,5.0,1.0,13.0
abbotji01,1996,1,CAL,AL,2,18,27,23,1,0,0,426,171,118,23,78,58,0.306,7.48,3.0,13,4.0,1,654.0,2,128,4.0,10.0,17.0
abbotji01,1998,1,CHA,AL,5,0,5,5,0,0,0,95,35,16,2,12,14,0.292,4.55,0.0,0,1.0,0,134.0,0,16,0.0,1.0,7.0
abbotji01,1999,1,MIL,NL,2,8,20,15,0,0,0,246,110,63,14,42,37,0.317,6.91,3.0,7,2.0,0,394.0,3,71,2.0,1.0,9.0
abbotky01,1991,1,CAL,AL,1,2,5,3,0,0,0,59,22,10,2,13,12,0.301,4.58,0.0,1,1.0,1,90.0,0,11,3.0,0.0,3.0
abbotky01,1992,1,PHI,NL,1,14,31,19,0,0,0,400,147,76,20,45,88,0.283,5.13,0.0,9,1.0,1,577.0,0,80,6.0,5.0,11.0
abbotky01,1995,1,PHI,NL,2,0,18,0,0,0,0,85,28,12,3,16,21,0.267,3.81,0.0,2,0.0,1,122.0,3,12,0.0,1.0,4.0
abbotky01,1996,1,CAL,AL,0,1,3,0,0,0,0,12,10,9,1,5,3,0.5,20.25,0.0,1,0.0,0,26.0,1,9,1.0,0.0,0.0
abbotpa01,1990,1,MIN,AL,0,5,7,7,0,0,0,104,37,23,0,28,25,0.282,5.97,0.0,1,1.0,0,162.0,0,24,1.0,1.0,4.0
abbotpa01,1991,1,MIN,AL,3,1,15,3,0,0,0,142,38,25,5,36,43,0.232,4.75,1.0,5,0.0,0,210.0,1,27,7.0,3.0,5.0
abbotpa01,1992,1,MIN,AL,0,0,6,0,0,0,0,33,12,4,1,5,13,0.279,3.27,0.0,1,1.0,0,50.0,5,4,0.0,1.0,0.0
abbotpa01,1993,1,CLE,AL,0,1,5,5,0,0,0,55,19,13,5,11,7,0.26,6.38,1.0,1,0.0,0,84.0,0,15,0.0,0.0,1.0
abbotpa01,1998,1,SEA,AL,3,1,4,4,0,0,0,74,24,11,2,10,22,0.255,4.01,0.0,3,0.0,0,105.0,0,11,0.0,1.0,3.0
abbotpa01,1999,1,SEA,AL,6,2,25,7,0,0,0,218,50,25,9,32,68,0.193,3.1,3.0,2,0.0,0,298.0,8,31,3.0,4.0,3.0
abbotpa01,2000,1,SEA,AL,9,7,35,27,0,0,0,537,164,84,23,80,100,0.243,4.22,4.0,3,5.0,0,766.0,2,89,1.0,4.0,20.0
abbotpa01,2001,1,SEA,AL,17,4,28,27,1,0,0,489,145,77,21,87,118,0.238,4.25,5.0,11,7.0,0,710.0,0,79,3.0,5.0,11.0
abbotpa01,2002,1,SEA,AL,1,3,7,5,0,0,0,79,40,35,5,20,22,0.351,11.96,0.0,2,1.0,0,137.0,1,36,1.0,1.0,0.0
abbotpa01,2003,1,KCA,AL,1,2,10,8,0,0,0,143,47,28,8,26,32,0.257,5.29,2.0,2,2.0,0,214.0,0,29,2.0,1.0,1.0
