name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
ramírez,hanley,434670,ramih003,ramirha01,8001,2005.0,2019.0
sipp,tony,448609,sippt001,sippto01,8280,2009.0,2019.0
vogelsong,ryan,285064,voger001,vogelry01,1011,2000.0,2016.0
ramos,wilson,467092,ramow001,ramoswi01,1433,2010.0,2021.0
pacheco,jordan,457574,pachj001,pachejo01,2677,2011.0,2016.0
chavez,jesse,445926,chavj001,chaveje01,5448,2008.0,2025.0
hayes,brett,451109,hayeb001,hayesbr01,4293,2009.0,2015.0
danks,jordan,458668,dankj002,danksjo02,9187,2012.0,2015.0
price,david,456034,pricd001,priceda01,3184,2008.0,2022.0
peguero,carlos,451713,peguc001,pegueca01,8760,2011.0,2015.0
billingsley,chad,451532,billc001,billich01,5842,2006.0,2015.0
cueto,johnny,456501,cuetj001,cuetojo01,6893,2008.0,2024.0
crisp,coco,424825,crisc001,crispco01,1572,2002.0,2016.0
gregg,kevin,276514,gregk001,greggke01,1793,2003.0,2015.0
tábata,josé,467798,tabaj002,tabatjo01,2411,2010.0,2015.0
longoria,evan,446334,longe001,longoev01,9368,2008.0,2023.0
lecure,sam,459967,lecus001,lecursa01,4664,2010.0,2015.0
de jesús,iván,474443,dejei002,dejesiv02,9886,2011.0,2016.0
blanton,joe,430599,blanj001,blantjo01,4849,2004.0,2017.0
wilson,josh,425543,wilsj003,wilsojo03,2102,2005.0,2015.0
webb,ryan,444436,webbr001,webbry01,7474,2009.0,2016.0
rondón,héctor,444468,rondh001,rondohe01,2391,2013.0,2020.0
lester,jon,452657,lestj001,lestejo01,4930,2006.0,2021.0
mayberry,john,460055,maybj001,maybejo02,3390,2009.0,2015.0
rodríguez,sean,446481,rodrs002,rodrise01,6589,2008.0,2020.0
swisher,nick,430897,swisn001,swishni01,4599,2004.0,2015.0
upton,justin,457708,uptoj001,uptonju01,5222,2007.0,2022.0
rasmus,cory,474284,rasmc002,rasmuco02,2413,2013.0,2016.0
sandoval,pablo,467055,sandp001,sandopa01,5409,2008.0,2021.0
kintzler,brandon,445213,kintb001,kintzbr01,9939,2010.0,2021.0
buchholz,clay,453329,buchc001,buchhcl01,3543,2007.0,2019.0
jones,garrett,434540,joneg002,jonesga02,2714,2007.0,2015.0
morrow,brandon,453344,morrb001,morrobr01,9346,2007.0,2018.0
