batter,yearID,velocity_bin,statcast_age_bat_velocity_sum,statcast_age_bat_velocity_count,velocity_pitch_count,release_speed_sum,release_speed_count,velocity_batted_ball_count,velocity_launch_speed_sum,velocity_launch_angle_sum,velocity_launch_angle_count,velocity_hard_hit_sum,velocity_xwoba_sum,velocity_xwoba_count,velocity_xslg_sum,velocity_xslg_count,velocity_bin_label,statcast_age_bat_velocity,avg_pitch_speed_in_bin,velocity_avg_launch_speed,velocity_avg_launch_angle,velocity_hard_hit_rate,velocity_avg_estimated_woba,velocity_avg_estimated_slg
112526,2015,v_lt85,336,8,8,631.7,8,1,80.0,69.0,1,0,0.0,3,0.0,1,85mph 미만,42.0,78.9625,80.0,69.0,0.0,0.0,0.0
112526,2015,v_85_90,714,17,17,1484.4,17,3,258.3,-74.0,3,1,0.516,6,0.6,2,85~90mph,42.0,87.31764705882354,86.10000000000001,-24.666666666666668,0.3333333333333333,0.08600000000000001,0.3
112526,2015,v_90_95,1638,39,39,3596.5,39,8,729.2,-45.0,8,2,1.473,8,1.733,7,90~95mph,42.0,92.21794871794872,91.15,-5.625,0.25,0.184125,0.24757142857142858
112526,2015,v_ge95,168,4,4,381.5,4,1,99.5,11.0,1,1,0.906,2,1.155,1,95mph 이상,42.0,95.375,99.5,11.0,1.0,0.453,1.155
112526,2016,v_lt85,559,13,13,1036.7,13,1,78.7,-22.0,1,0,0.0,5,0.0,0,85mph 미만,43.0,79.74615384615385,78.7,-22.0,0.0,0.0,
112526,2016,v_85_90,602,14,14,1227.3,14,2,183.2,-3.0,2,1,0.916,2,1.195,1,85~90mph,43.0,87.66428571428571,91.6,-1.5,0.5,0.458,1.195
112526,2016,v_90_95,1032,24,24,2236.7,24,3,267.3,78.0,3,1,0.435,5,0.7979999999999999,3,90~95mph,43.0,93.19583333333333,89.10000000000001,26.0,0.3333333333333333,0.087,0.26599999999999996
112526,2016,v_ge95,172,4,4,381.1,4,2,163.5,74.0,2,0,0.0,1,0.0,1,95mph 이상,43.0,95.275,81.75,37.0,0.0,0.0,0.0
112526,2017,v_lt85,88,2,2,156.9,2,1,74.2,43.0,1,0,0.162,1,0.204,1,85mph 미만,44.0,78.45,74.2,43.0,0.0,0.162,0.204
112526,2017,v_85_90,176,4,4,352.70000000000005,4,0,0.0,0.0,0,0,0.0,0,0.0,0,85~90mph,44.0,88.17500000000001,,,,,
112526,2017,v_90_95,264,6,6,559.7,6,1,82.9,-21.0,1,0,0.06,2,0.073,1,90~95mph,44.0,93.28333333333335,82.9,-21.0,0.0,0.03,0.073
112526,2017,v_ge95,132,3,3,285.2,3,0,0.0,0.0,0,0,0.0,1,0.0,0,95mph 이상,44.0,95.06666666666666,,,,0.0,
112526,2018,v_lt85,135,3,3,245.3,3,0,0.0,0.0,0,0,0.0,2,0.0,0,85mph 미만,45.0,81.76666666666667,,,,0.0,
112526,2018,v_85_90,90,2,2,179.1,2,0,0.0,0.0,0,0,0.0,0,0.0,0,85~90mph,45.0,89.55,,,,,
112526,2018,v_90_95,135,3,3,271.4,3,0,0.0,0.0,0,0,0.0,0,0.0,0,90~95mph,45.0,90.46666666666665,,,,,
115629,2015,v_lt85,43,1,1,79.4,1,0,0.0,0.0,0,0,0.0,1,0.0,0,85mph 미만,43.0,79.4,,,,0.0,
115629,2015,v_85_90,43,1,1,89.5,1,0,0.0,0.0,0,0,0.0,0,0.0,0,85~90mph,43.0,89.5,,,,,
115629,2015,v_90_95,86,2,2,181.8,2,0,0.0,0.0,0,0,0.0,0,0.0,0,90~95mph,43.0,90.9,,,,,
116338,2015,v_lt85,4320,108,108,8744.7,108,33,2934.4,228.0,33,12,11.611,34,17.191000000000003,27,85mph 미만,40.0,80.96944444444445,88.92121212121212,6.909090909090909,0.36363636363636365,0.3415,0.6367037037037038
116338,2015,v_85_90,4320,108,108,9431.4,108,20,1689.5,323.0,20,3,3.044,22,3.931,16,85~90mph,40.0,87.32777777777777,84.475,16.15,0.15,0.13836363636363636,0.2456875
116338,2015,v_90_95,7480,187,187,17352.9,187,43,3664.2,812.0,43,11,17.227901,47,19.609,35,90~95mph,40.0,92.796256684492,85.21395348837208,18.88372093023256,0.2558139534883721,0.36655108510638296,0.5602571428571429
116338,2015,v_ge95,2640,66,66,6363.3,66,18,1634.6999999999998,186.0,18,6,6.748372,23,5.459,16,95mph 이상,40.0,96.41363636363637,90.81666666666666,10.333333333333334,0.3333333333333333,0.29340747826086955,0.3411875
120074,2015,v_lt85,7080,177,177,14138.9,177,26,2429.4,297.0,26,13,14.100529,30,19.82,20,85mph 미만,40.0,79.88079096045198,93.43846153846154,11.423076923076923,0.5,0.47001763333333335,0.991
120074,2015,v_85_90,4320,108,108,9455.0,108,32,2950.9,357.0,32,13,14.934529,39,20.508,28,85~90mph,40.0,87.54629629629629,92.215625,11.15625,0.40625,0.382936641025641,0.7324285714285714
120074,2015,v_90_95,6800,170,170,15716.7,170,34,3258.1000000000004,648.0,34,18,18.180529,44,25.698,27,90~95mph,40.0,92.45117647058824,95.82647058823531,19.058823529411764,0.5294117647058824,0.4131938409090909,0.9517777777777778
120074,2015,v_ge95,3480,87,87,8417.2,87,10,961.5,159.0,10,7,6.4923720000000005,13,5.986999999999999,7,95mph 이상,40.0,96.74942528735633,96.15,15.9,0.7,0.49941323076923083,0.8552857142857142
120074,2016,v_lt85,5453,133,133,10733.8,133,27,2229.2,365.0,27,6,10.084745,29,10.552,20,85mph 미만,41.0,80.70526315789473,82.56296296296296,13.518518518518519,0.2222222222222222,0.34774982758620687,0.5276
120074,2016,v_85_90,5166,126,126,11049.3,126,35,2982.0,343.0,35,12,12.826284000000001,32,13.062999999999999,22,85~90mph,41.0,87.69285714285714,85.2,9.8,0.34285714285714286,0.40082137500000004,0.5937727272727272
120074,2016,v_90_95,6109,149,149,13836.8,149,49,4526.3,895.0,49,25,24.969224,43,40.191,36,90~95mph,41.0,92.86442953020133,92.37346938775511,18.26530612244898,0.5102040816326531,0.5806796279069768,1.1164166666666668
120074,2016,v_ge95,2706,66,66,6371.8,66,18,1622.8000000000002,560.0,18,7,7.382612,13,12.272,9,95mph 이상,41.0,96.54242424242425,90.15555555555557,31.11111111111111,0.3888888888888889,0.5678932307692308,1.3635555555555556
121347,2015,v_lt85,5720,143,143,11300.2,143,19,1663.1,215.0,19,7,11.989874,33,9.293,15,85mph 미만,40.0,79.02237762237763,87.53157894736842,11.31578947368421,0.3684210526315789,0.3633295151515152,0.6195333333333333
