age,player_seasons,unique_players,avg_WHIP,avg_next_WHIP,avg_delta_next_WHIP,median_delta_next_WHIP,avg_release_speed,avg_effective_speed,avg_release_spin_rate,avg_release_extension,avg_fastball_avg_spin,avg_breaking1_avg_spin
30.0,185,185,1.2427318140906654,1.278046639899732,0.0353148258090669,0.046220930232558244,89.26997136822715,88.92164043237482,2239.599425134564,6.119437653387032,2248.9159413157868,2401.024534156828
31.0,174,174,1.2463849562138063,1.2875817371194618,0.0411967809056553,0.04490089205045367,88.85640102715837,88.57138593930642,2222.265662226495,6.160215658855554,2249.173827577336,2362.038742038472
32.0,147,147,1.2427460356664866,1.3117391004680723,0.06899306480158587,0.06136363636363651,88.52927495947208,88.30414711833245,2211.8580733370823,6.192179338806053,2236.518526882745,2380.373003551801
33.0,109,109,1.2399046045050433,1.262192899316412,0.022288294811368615,0.01017555630101774,88.09265680072293,87.95069361321428,2228.371814802513,6.21237707842511,2243.0871073312765,2388.3581395160204
34.0,87,87,1.21792048571234,1.302442793312045,0.08452230759970515,0.08280229087682511,87.51637263223033,87.27669064893132,2232.2133717727183,6.162299645361869,2245.972992821682,2420.956447440973
35.0,53,53,1.2670431905215582,1.3062553562022508,0.03921216568069249,-0.05001452503147075,88.15232070451806,88.00864249557311,2255.22904442701,6.2374853194441044,2247.6150214454665,2411.6487199736707
36.0,30,30,1.2386947477830477,1.2507485428769174,0.012053795093869554,-0.002596555729648564,87.70805264937421,87.5869131852164,2248.9328992434625,6.243057109304192,2264.8047948902363,2413.8868161958612
37.0,17,17,1.1156425814911657,1.3581881780288372,0.24254559653767138,0.24159692687611478,88.26059373102328,88.19883125428835,2309.7421316079317,6.298811075032442,2279.49549030499,2440.630122576202
38.0,12,12,1.1619920978326113,1.244531380558611,0.08253928272599949,0.12148655982693646,86.6775809746905,86.45416220816212,2266.5312818289376,6.171716593892051,2269.7362481982086,2443.2993443586597
39.0,7,7,1.176618400343139,1.23731284618297,0.06069444583983103,0.03375881760161192,88.53366907354747,88.07816134418383,2285.9160704206806,6.080101446822014,2316.0598907599265,2458.6208166436736
40.0,5,5,1.2001666176954466,1.3678414587508243,0.16767484105537758,0.22693544988410475,87.29265945505907,87.05450895748939,2421.844148371292,6.175408483889433,2316.263115964859,2731.363166980923
41.0,4,4,1.2280372498416765,1.4955286184327834,0.2674913685911069,0.17979430408766944,84.25870247005257,83.61252864905336,2258.631103623301,6.016731598171566,2277.231138613027,2491.9123888807926
42.0,2,2,1.2704813801461676,1.3671763890264435,0.09669500888027571,0.09669500888027571,83.88029636676958,82.62055037453953,2259.974716472143,5.6731537089612,2217.9754336532533,2371.1849645390066
43.0,1,1,1.2104347826086956,1.5874125874125875,0.37697780480389187,0.37697780480389187,87.752,85.80778145695365,2135.8097643097644,5.197516556291391,2144.5136612021856,2269.230769230769
44.0,1,1,1.5874125874125875,1.3462414578587698,-0.2411711295538177,-0.2411711295538177,86.79101654846335,84.8548463356974,2087.8345153664304,5.2130023640661936,2127.220588235294,2351.206896551724
