feature,importance
WHIP,0.18235012232344813
breaking1_usage_rate,0.08120339157614209
ERA,0.06610169381550345
fastball_usage_rate,0.0653149398836429
fastball_avg_spin,0.05551173532406943
breaking1_avg_spin,0.052709985935906103
avg_release_spin_rate,0.04642759008402229
breaking1_avg_extension,0.04447345373801984
fastball_avg_extension,0.04336510704586069
fastball_avg_speed,0.03945680992394972
breaking1_avg_effective_speed,0.0378195497995054
breaking1_avg_speed,0.03730956252488687
avg_release_extension,0.03684988907639295
fastball_avg_effective_speed,0.03641762409602384
avg_release_speed,0.03219596504319231
breaking2_avg_spin,0.03153455373345955
avg_effective_speed,0.027732518015439852
age,0.027705941599661933
breaking2_usage_rate,0.023068649620782304
breaking2_avg_extension,0.014893769704347191
breaking2_avg_effective_speed,0.009433309378111758
breaking2_avg_speed,0.00795111503290646
has_breaking2,0.00017272272472496094
