dataset,target,feature_set,model_name,split_method,train_rows,test_rows,n_features,RMSE,MAE,R2
batter,next_OPS,Model_A_basic,LinearRegression,temporal_split_train_before_2023_test_2023,739,122,4,0.10641362448889806,0.0827112572999316,0.21303228370306093
batter,next_OPS,Model_A_basic,Ridge,temporal_split_train_before_2023_test_2023,739,122,4,0.1064142089750998,0.08271071961038315,0.21302363870037788
batter,next_OPS,Model_A_basic,RandomForest,temporal_split_train_before_2023_test_2023,739,122,4,0.10712441400597741,0.08424911719912864,0.2024840751332051
batter,next_OPS,Model_B_basic_plus_statcast,LinearRegression,temporal_split_train_before_2023_test_2023,739,122,9,0.10034390345623233,0.07774546137276721,0.30024754925463093
batter,next_OPS,Model_B_basic_plus_statcast,Ridge,temporal_split_train_before_2023_test_2023,739,122,9,0.10035312271234315,0.07775546292344283,0.30011896160371476
batter,next_OPS,Model_B_basic_plus_statcast,RandomForest,temporal_split_train_before_2023_test_2023,739,122,9,0.09858361082275473,0.0771147259836405,0.32458315566598017
pitcher,next_WHIP,Model_A_basic,LinearRegression,temporal_split_train_before_2023_test_2023,697,137,3,0.21147957589880714,0.1668011194755175,0.006790774149713297
pitcher,next_WHIP,Model_A_basic,Ridge,temporal_split_train_before_2023_test_2023,697,137,3,0.21145060581562508,0.16678103242481845,0.007062870241935859
pitcher,next_WHIP,Model_A_basic,RandomForest,temporal_split_train_before_2023_test_2023,697,137,3,0.21681079281255622,0.17114219063757505,-0.04391629916264983
pitcher,next_WHIP,Model_B_basic_plus_statcast,LinearRegression,temporal_split_train_before_2023_test_2023,697,137,23,0.20368134919358774,0.15798672842535058,0.07868867503678945
pitcher,next_WHIP,Model_B_basic_plus_statcast,Ridge,temporal_split_train_before_2023_test_2023,697,137,23,0.2032593567654652,0.15818462677704315,0.08250231487783066
pitcher,next_WHIP,Model_B_basic_plus_statcast,RandomForest,temporal_split_train_before_2023_test_2023,697,137,23,0.2034698684861391,0.16154948859192206,0.08060086210128659
