age_group,velocity_bin,velocity_bin_label,player_seasons,unique_players,total_velocity_pitch_count,total_velocity_batted_ball_count,release_speed_sum,release_speed_count,velocity_launch_speed_sum,velocity_launch_angle_sum,velocity_launch_angle_count,velocity_hard_hit_sum,velocity_xwoba_sum,velocity_xwoba_count,velocity_xslg_sum,velocity_xslg_count,avg_OPS,avg_pitch_speed_in_bin,avg_velocity_launch_speed,avg_velocity_launch_angle,velocity_hard_hit_rate,avg_velocity_estimated_woba,avg_velocity_estimated_slg
30-32,v_lt85,85mph 미만,833,435,94177.0,25159.0,7604779.2,94177.0,2059817.6,310852.0,25174.0,6157.0,6608.370419879597,22972.0,8054.146,15307.0,0.7291546663184496,80.74985612198307,81.87199809213404,12.348136966711689,0.2447235581700385,0.2876706607992162,0.5261740380218201
30-32,v_85_90,85~90mph,836,439,84509.0,24493.0,7390128.7,84509.0,2032538.3,304168.0,24509.0,6481.0,6736.504815082959,21915.0,8043.479,14802.0,0.7288218317678614,87.44783040859554,82.98445678357082,12.410461463135992,0.2646062140203323,0.3073924168415678,0.5434048777192272
30-32,v_90_95,90~95mph,853,449,126352.0,40262.0,11699919.8,126352.0,3394393.9,816701.0,40280.0,10779.0,11357.528236834702,31873.0,13043.051,22610.0,0.727406622774405,92.59782037482589,84.30763250707864,20.27559582919563,0.2677214246684218,0.3563369697497788,0.5768708978328173
30-32,v_ge95,95mph 이상,794,419,51115.0,17135.0,4935535.2,51115.0,1444464.1,370745.0,17143.0,4217.0,4407.897099588728,13545.0,4853.405,8752.0,0.7322074561862172,96.557472366233,84.29904289466006,21.626611444904626,0.2461044645462503,0.3254261424576396,0.5545481032906764
33-35,v_lt85,85mph 미만,465,261,48706.0,13020.0,3935383.7,48706.0,1059332.7,160148.0,13026.0,3007.0,3457.5289249402103,11851.0,4189.93,8141.0,0.7203515775094469,80.79874553443108,81.36195852534561,12.294487947182558,0.2309523809523809,0.2917499725711088,0.5146701879375999
33-35,v_85_90,85~90mph,461,256,44432.0,12629.0,3886555.7,44432.0,1047588.3,150589.0,12639.0,3247.0,3495.840965305267,11402.0,4039.881,7771.0,0.7228480337508959,87.47199540871445,82.95100958112282,11.914629321940026,0.2571066592762689,0.3065989269694147,0.5198662977737742
33-35,v_90_95,90~95mph,477,265,68218.0,21189.0,6316274.0,68218.0,1791205.3,409139.0,21201.0,5766.0,6158.2935369285415,17182.0,6930.655,12305.0,0.7200541210265918,92.58955114485912,84.5346783708528,19.298099146266686,0.2721223276228232,0.3584154078063404,0.5632389272653393
33-35,v_ge95,95mph 이상,443,248,28041.0,9346.0,2707061.4,28041.0,784532.5,192991.0,9350.0,2263.0,2460.497791733585,7333.0,2672.22,4867.0,0.7247369623233161,96.5394030170108,83.94313075112348,20.640748663101604,0.2421356730151936,0.3355376778581187,0.5490486952948428
36+,v_lt85,85mph 미만,176,90,18235.0,4644.0,1471361.7,18235.0,383450.6,55621.0,4645.0,1165.0,1257.591520793078,4299.0,1491.329,2869.0,0.7106146750289412,80.68887853029888,82.56903531438415,11.97438105489774,0.2508613264427218,0.2925311748762684,0.5198079470198675
36+,v_85_90,85~90mph,176,89,16351.0,4609.0,1430428.3,16351.0,384086.0,59213.0,4610.0,1237.0,1283.9997388872368,4157.0,1526.795,2849.0,0.7089054274956771,87.4826188000734,83.33391191147754,12.844468546637744,0.2683879366456932,0.3088765308845891,0.5359055809055809
36+,v_90_95,90~95mph,179,89,24331.0,7763.0,2252483.2,24331.0,661152.1,157704.0,7767.0,2211.0,2270.4414884920016,6242.0,2629.244,4527.0,0.7077387929420795,92.5766799556122,85.16708746618575,20.304364619544227,0.2848125724591008,0.3637362205209871,0.5807916942787719
36+,v_ge95,95mph 이상,172,87,10234.0,3410.0,988426.0,10234.0,289246.5,75707.0,3413.0,883.0,866.3856516684776,2685.0,983.405,1764.0,0.7080989200050256,96.58256791088527,84.82302052785924,22.181951362437736,0.2589442815249267,0.3226762203606993,0.557485827664399
